x,x_eff,Re_x,delta_99,delta_star,theta,Cf
0.05,0.016666666666666666,164050.18537505122,0.00020203451640958973,3.271778924713691e-05,1.2582345267542583e-05,0.0016396725999881087
0.06551724137931035,0.021839080459770118,214962.31187075682,0.00023126950551046222,3.7452149637841363e-05,1.4403047656902041e-05,0.0014324000913024223
0.08103448275862069,0.027011494252873563,265874.43836646236,0.0002572026876555738,4.165181018599858e-05,1.6018119464604182e-05,0.0012879743358368957
0.09655172413793103,0.03218390804597701,316786.56486216787,0.0002807505314250493,4.546518526351397e-05,1.7484636700763087e-05,0.0011799459795398108
0.11206896551724138,0.03735632183908046,367698.6913578735,0.0003024706585003652,4.898257700775697e-05,1.8837327037905657e-05,0.0010952151936028276
0.12758620689655173,0.04252873563218391,418610.817853579,0.0003227323002301465,5.226377932752313e-05,2.0099185538432933e-05,0.0010264558600809927
0.14310344827586208,0.04770114942528736,469522.9443492846,0.0003417949326277942,5.535081217896652e-05,2.1286371900436478e-05,0.00096920822746485
0.1586206896551724,0.0528735632183908,520435.07084499,0.0003598491549639033,5.8274541509534165e-05,2.241075630270053e-05,0.0009205814609787875
0.17413793103448277,0.058045977011494256,571347.1973406957,0.0003770398555675941,6.10584307644867e-05,2.3481362129024193e-05,0.0008786086030877535
0.1896551724137931,0.0632183908045977,622259.3238364011,0.00039348022954734227,6.372081093878834e-05,2.4505238966590626e-05,0.0008418986163288157
0.20517241379310347,0.06839080459770115,673171.4503321068,0.00040926071079792903,6.627632704044487e-05,2.5488018875249048e-05,0.0008094362641426769
0.2206896551724138,0.0735632183908046,724083.5768278124,0.00042445490662851694,6.873689915356377e-05,2.6434285985446853e-05,0.0007804609055882118
0.2362068965517241,0.07873563218390804,774995.7033235178,0.0004391236797523221,7.111238348222051e-05,2.734783071718362e-05,0.0007543898816741059
0.2517241379310345,0.0839080459770115,825907.8298192235,0.0004533180389940565,7.341104047619529e-05,2.8231829808056576e-05,0.000730768317854202
0.2672413793103448,0.08908045977011493,876819.9563149288,0.00046708123794005454,7.563987468969509e-05,2.9088977013405126e-05,0.0007092352119936096
0.2827586206896552,0.09425287356321839,927732.0828106345,0.00048045033166167213,7.780488687960397e-05,2.9921580056236198e-05,0.0006894999107669036
0.2982758620689655,0.09942528735632183,978644.2093063401,0.0004934573533265137,7.991126454776674e-05,3.073163390444921e-05,0.000671325411558829
0.3137931034482758,0.10459770114942528,1029556.3358020455,0.0005061302183333896,8.196352835803469e-05,3.152087707873041e-05,0.0006545162663859033
0.3293103448275862,0.10977011494252874,1080468.4622977513,0.0005184934293396606,8.396564630950894e-05,3.229083556038419e-05,0.0006389096603028305
0.3448275862068965,0.11494252873563217,1131380.5887934566,0.0005305686332856462,8.59211239419547e-05,3.304285748180857e-05,0.0006243687244705694
0.3603448275862069,0.12011494252873563,1182292.7152891622,0.0005423750667064217,8.783307645029824e-05,3.377814085971062e-05,0.0006107774511470366
0.3758620689655172,0.12528735632183907,1233204.8417848677,0.0005539299155515906,8.970428695440998e-05,3.449775600403296e-05,0.0005980367759679142
0.3913793103448276,0.13045977011494253,1284116.9682805734,0.0005652486087565269,9.153725404049612e-05,3.520266380104114e-05,0.0005860615235080435
0.4068965517241379,0.13563218390804596,1335029.0947762788,0.0005763450598898079,9.333423089386612e-05,3.589373076268991e-05,0.000574777999957158
0.42241379310344823,0.14080459770114942,1385941.2212719845,0.0005872318676788437,9.509725777237064e-05,3.657174151499779e-05,0.0005641220768860309
0.4379310344827586,0.14597701149425288,1436853.3477676902,0.000597920483656297,9.682818915532759e-05,3.7237409238763546e-05,0.0005540376519347957
0.45344827586206893,0.1511494252873563,1487765.4742633954,0.000608421353285679,9.852871659762498e-05,3.789138445861397e-05,0.0005444754018242142
0.4689655172413793,0.15632183908045977,1538677.600759101,0.000618744035520484,0.00010020038809131574,3.853426248893096e-05,0.000535391764269678
0.4844827586206896,0.1614942528735632,1589589.7272548066,0.0006288973046931994,0.00010184462456568575,3.916658977931539e-05,0.000526748100741597
0.5,0.16666666666666666,1640501.8537505122,0.0006388892378249675,0.00010346273402631829,3.9788869352075245e-05,0.0005185100032932599
